TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WDir_Avg
2016-04-18 10:00:00,27.9,23.17,1.297,200.8
2016-04-18 11:00:00,28.73,21.65,1.289,188.6
2016-04-18 12:00:00,30.25,19.97,1.764,146.3
2016-04-18 13:00:00,31.28,17.92,2.241,168.7
2016-04-18 14:00:00,32.28,14.27,3.143,177.0
2016-04-18 15:00:00,33.08,13.13,3.359,155.3
2016-04-18 16:00:00,33.55,12.77,3.422,153.7
2016-04-18 17:00:00,33.56,13.39,3.583,141.0
2016-04-19 09:00:00,25.49,32.18,1.995,160.4
2016-04-19 10:00:00,26.37,31.2,1.855,180.2
2016-04-19 11:00:00,27.56,30.08,1.881,172.1
2016-04-19 12:00:00,28.87,27.21,1.934,179.4
2016-04-19 13:00:00,30.19,23.85,2.103,226.1
2016-04-19 14:00:00,31.24,21.39,2.236,85.3
2016-04-19 15:00:00,32.26,19.52,2.123,93.1
2016-04-19 16:00:00,32.85,17.78,2.068,105.9
2016-04-19 17:00:00,32.4,17.07,2.162,186.7
2016-04-19 18:00:00,32.66,16.93,1.606,206.1
2016-04-19 19:00:00,28.02,35.83,3.666,191.8
2016-04-19 20:00:00,22.46,68.34,2.389,33.66
2016-04-19 21:00:00,24.43,48.29,3.038,46.41
2016-04-19 22:00:00,24.63,45.22,0.955,112.5
2016-04-19 23:00:00,24.0,47.47,2.161,168.3
2016-04-20 00:00:00,22.29,50.27,1.962,144.9
2016-04-20 01:00:00,22.1,51.92,1.616,359.3
2016-04-20 02:00:00,21.37,55.79,1.897,157.9
2016-04-20 03:00:00,19.73,63.46,1.835,156.2
2016-04-20 04:00:00,19.35,65.56,0.904,211.1
2016-04-20 05:00:00,19.35,65.78,1.386,287.8
2016-04-20 06:00:00,19.04,66.69,2.567,245.8
2016-04-20 07:00:00,17.88,75.02,1.951,196.0
2016-04-20 08:00:00,17.89,77.46,1.014,72.27
2016-04-20 09:00:00,19.11,67.16,1.58,256.5
2016-04-20 10:00:00,21.15,57.51,1.866,231.9
2016-04-20 11:00:00,22.16,56.3,2.752,182.1
2016-04-20 12:00:00,23.54,49.45,2.348,183.6
2016-04-20 13:00:00,24.91,47.0,2.61,141.8
2016-04-20 14:00:00,26.54,40.12,2.863,155.1
2016-04-20 15:00:00,26.32,38.89,3.681,155.3
2016-04-20 16:00:00,27.97,32.63,2.427,174.1
2016-04-20 17:00:00,28.0,31.11,1.35,181.1
2016-04-20 18:00:00,27.79,31.33,1.303,89.8
